sigla_uf,cnae_2_subclasse,tipo_vinculo,valor_remuneracao_media,sexo,raca_cor,grau_instrucao_apos_2005,cbo_2002,id_municipio
SE,5231102,10,0,1,8,5,715125,2800605
SE,5231102,10,0,1,2,7,715125,2800605
SE,5231102,10,2702.75,1,8,7,342110,2800605
SE,5231102,10,5286.29,1,2,9,391125,2800605
SE,5231102,10,4328.57,1,2,9,342110,2800605
SE,5231102,10,1689.39,1,8,7,414105,2800605
SE,5231102,10,2942.31,1,4,7,911305,2800605
SE,5231102,10,22444.44,1,2,9,141605,2800605
SE,5231102,10,4647.18,1,8,7,342110,2800605
SE,5231102,55,855,2,8,7,411010,2800605
SE,5231102,10,2364.27,1,8,7,342110,2800605
SE,5231102,10,0,1,8,7,715125,2800605
SE,5231102,10,5610.24,1,2,7,951105,2800605
SE,5231102,10,4214.91,1,2,7,342110,2800605
SE,5231102,10,3963.7,1,8,5,342110,2800605
SE,5231102,10,7056.27,1,8,9,252105,2800605
SE,5231102,10,0,1,8,7,715125,2800605
SE,5231102,10,2905.95,1,8,7,951105,2800605
SE,5231102,10,3171.58,1,8,7,342110,2800605
SE,5231102,10,9897.17,2,8,9,225140,2800605
SE,5231102,10,7293.76,1,2,9,342605,2800605
SE,5231102,10,4854.96,1,2,7,314410,2800605
SE,5231102,10,3731.8,1,8,8,342110,2800605
SE,5231102,10,6316.25,1,8,7,342110,2800605
SE,5231102,10,5465.74,1,1,8,951105,2800605
SE,5231102,10,2067.66,1,8,9,342110,2800605
SE,5231102,10,0,1,8,7,784205,2800605
SE,5231102,10,3653.08,1,8,8,342110,2800605
SE,5231102,10,0,1,8,7,342110,2800605
SE,5231102,10,6055.21,1,4,7,351605,2800605
SE,5231102,10,5167.9,1,8,7,342110,2800605
SE,5231102,10,5595.55,1,2,9,391125,2800605
SE,5231102,10,3027.04,1,8,7,342110,2800605
SE,5231102,10,0,1,8,7,784205,2800605
SE,5231102,10,9408.78,1,4,9,253120,2800605
SE,5231102,10,20234.5,1,2,9,141605,2800605
SE,5231102,10,11752.89,1,2,9,342610,2800605
SE,5231102,10,2201.32,1,8,7,351605,2800605
SE,5231102,10,6050.11,1,2,7,342110,2800605
SE,5231102,10,4479.61,1,8,8,342110,2800605
SE,5231102,10,3697.9,1,2,9,411010,2800605
SE,5231102,10,3942.12,1,8,7,342110,2800605
SE,5231102,10,2340,1,4,7,342110,2800605
SE,5231102,10,3738.06,1,4,7,342605,2800605
SE,5231102,10,4491.8,1,8,7,342110,2800605
SE,5231102,10,2824.66,1,8,7,951105,2800605
SE,5231102,10,3459.33,1,8,7,342110,2800605
SE,5231102,10,3296.19,1,4,7,342605,2800605
SE,5231102,10,0,1,8,9,715125,2800605
SE,5231102,10,4909.46,1,8,8,215130,2800605
SE,5231102,10,4241.83,1,8,7,342110,2800605
SE,5231102,10,4577.98,1,6,6,951105,2800605
SE,5231102,10,2526.96,1,2,8,342110,2800605
SE,5231102,10,11033.6,1,8,9,342610,2800605
SE,5231102,10,5570.55,1,4,7,951105,2800605
SE,5231102,10,4789.44,1,8,6,342110,2800605
SE,5231102,10,4319.17,1,8,7,951105,2800605
SE,5231102,10,5202.9,2,2,9,252105,2800605
SE,5231102,10,3535.74,1,8,7,342110,2800605
SE,5231102,10,4748.12,1,8,7,342110,2800605
SE,5231102,10,0,1,1,8,342110,2800605
SE,5231102,10,5348.98,1,8,7,911305,2800605
SE,5231102,10,8173.42,1,8,8,951105,2800605
SE,5231102,10,2551.65,2,4,7,411010,2800605
SE,5231102,55,831.68,2,8,7,411010,2800605
SE,5231102,10,5440.46,1,2,9,391125,2800605
SE,5231102,10,3716.33,1,2,7,342110,2800605
SE,5231102,10,2079.94,2,2,7,411010,2800605
SE,5231102,10,0,1,2,6,715125,2800605
PI,5231101,10,7200,1,2,9,123305,2211001
PI,5231101,10,2600,2,2,9,252305,2211001
PI,5231101,10,4689.4,1,2,9,123115,2211001
PI,5231101,10,1244.08,2,8,7,252305,2211001
PI,5231101,10,1244.08,1,8,9,252305,2211001
PI,5231101,10,7966.66,1,8,7,123105,2211001
PI,5231101,10,4000,2,2,9,252205,2211001
PI,5231101,10,2891.66,2,8,9,252205,2211001
RO,5231102,10,4085.7,1,8,7,911305,1100205
RO,5231102,10,1777.09,1,8,7,784205,1100205
RO,5231102,10,1509.89,1,9,7,411005,1100205
RO,5231102,10,2654.9,1,8,6,784205,1100205
RO,5231102,10,1473.75,1,8,7,784205,1100205
RO,5231102,10,2417.01,1,8,4,784205,1100205
RO,5231102,10,2029.98,1,8,7,784205,1100205
RO,5231102,10,1031.14,1,2,7,632110,1100205
RO,5231102,10,1315.52,2,9,7,514120,1100205
RO,5231101,10,0,2,9,9,351505,1100205
RO,5231102,10,1601.68,1,8,7,784205,1100205
RO,5231102,10,2378.01,1,8,7,784205,1100205
RO,5231101,10,6209.13,1,9,7,517325,1100205
RO,5231102,10,1447.21,1,8,6,784205,1100205
RO,5231102,10,1832.87,1,8,8,411010,1100205
RO,5231101,10,6061.37,1,9,9,517325,1100205
RO,5231102,10,4470.26,1,2,7,410105,1100205
RO,5231102,10,1700.32,1,4,7,517330,1100205
